#SUBMITTED ID;GO_BIOLOGICAL_PROCESS;GO_CELLULAR_COMPONENT;GO_MOLECULAR_FUNCTION;NAME;SYMBOL
FBgn0015031;-;"mitochondrion ; GO:0005739 | located_in inferred from direct assay <newline> mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay <newline> mitochondrial respiratory chain complex IV ; GO:0005751 | inferred from sequence or structural similarity with UniProtKB:P09669 part_of <newline> mitochondrion ; GO:0005739 | <newline> mitochondrial respiratory chain complex IV ; GO:0005751 |";-;cyclope;cype
FBgn0011586;-;"nucleus ; GO:0005634 | located_in inferred from direct assay <newline> nucleus ; GO:0005634 |";-;enhancer of rudimentary;e(r)
FBgn0015031;-;"mitochondrion ; GO:0005739 | located_in inferred from direct assay <newline> mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay <newline> mitochondrial respiratory chain complex IV ; GO:0005751 | inferred from sequence or structural similarity with UniProtKB:P09669 part_of <newline> mitochondrion ; GO:0005739 | <newline> mitochondrial respiratory chain complex IV ; GO:0005751 |";-;cyclope;cype
FBgn0011586;-;"nucleus ; GO:0005634 | located_in inferred from direct assay <newline> nucleus ; GO:0005634 |";-;enhancer of rudimentary;e(r)
FBgn0039323;-;-;"ecdysteroid 22-kinase activity ; GO:0106389 | enables traceable author statement <newline> ecdysteroid 22-kinase activity ; GO:0106389 |";-;CG10559
FBgn0051288;-;-;"ecdysteroid 22-kinase activity ; GO:0106389 | enables traceable author statement <newline> ecdysteroid 22-kinase activity ; GO:0106389 |";-;CG31288
FBgn0051974;-;-;"ecdysteroid 22-kinase activity ; GO:0106389 | enables traceable author statement <newline> ecdysteroid 22-kinase activity ; GO:0106389 |";-;CG31974
FBgn0085409;-;-;"collagen binding ; GO:0005518 | enables inferred from sequence or structural similarity with HGNC:2731 <newline> collagen binding ; GO:0005518 |";smoke alarm;smal
FBgn0031801;-;-;"ecdysteroid 22-kinase activity ; GO:0106389 | enables traceable author statement <newline> ecdysteroid 22-kinase activity ; GO:0106389 |";-;CG9498
FBgn0039323;-;-;"ecdysteroid 22-kinase activity ; GO:0106389 | enables traceable author statement <newline> ecdysteroid 22-kinase activity ; GO:0106389 |";-;CG10559
FBgn0034480;-;-;"ecdysteroid 22-kinase activity ; GO:0106389 | enables traceable author statement <newline> ecdysteroid 22-kinase activity ; GO:0106389 |";-;CG16898
FBgn0260658;-;"plasma membrane ; GO:0005886 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000632293 <newline> plasma membrane ; GO:0005886 |";"calcium channel regulator activity ; GO:0005246 | enables inferred from biological aspect of ancestor with PANTHER:PTN000632293 <newline> GTP binding ; GO:0005525 | enables inferred from electronic annotation with InterPro:IPR001806 <newline> GTPase activity ; GO:0003924 | enables inferred from electronic annotation with InterPro:IPR001806 <newline> GTP binding ; GO:0005525 | enables inferred from biological aspect of ancestor with PANTHER:PTN000632293 <newline> calcium channel regulator activity ; GO:0005246 | <newline> GTP binding ; GO:0005525 | <newline> GTPase activity ; GO:0003924 |";-;CG42541
FBgn0015031;-;"mitochondrion ; GO:0005739 | located_in inferred from direct assay <newline> mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay <newline> mitochondrial respiratory chain complex IV ; GO:0005751 | inferred from sequence or structural similarity with UniProtKB:P09669 part_of <newline> mitochondrion ; GO:0005739 | <newline> mitochondrial respiratory chain complex IV ; GO:0005751 |";-;cyclope;cype
FBgn0051145;-;"extracellular region ; GO:0005576 | located_in inferred from direct assay <newline> Golgi apparatus ; GO:0005794 | located_in inferred from direct assay <newline> extracellular region ; GO:0005576 | <newline> Golgi apparatus ; GO:0005794 |";"protein serine/threonine kinase activity ; GO:0004674 | enables inferred from biological aspect of ancestor with PANTHER:PTN000278746 <newline> protein kinase activity ; GO:0004672 | enables inferred from sequence or structural similarity with fj <newline> protein serine/threonine kinase activity ; GO:0004674 | <newline> protein kinase activity ; GO:0004672 |";-;CG31145
FBgn0015031;-;"mitochondrion ; GO:0005739 | located_in inferred from direct assay <newline> mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay <newline> mitochondrial respiratory chain complex IV ; GO:0005751 | inferred from sequence or structural similarity with UniProtKB:P09669 part_of <newline> mitochondrion ; GO:0005739 | <newline> mitochondrial respiratory chain complex IV ; GO:0005751 |";-;cyclope;cype
FBgn0027524;-;"Cdc73/Paf1 complex ; GO:0016593 | part_of inferred from biological aspect of ancestor with PANTHER:PTN002337039 <newline> Cdc73/Paf1 complex ; GO:0016593 |";-;-;CG3909
FBgn0051145;-;"extracellular region ; GO:0005576 | located_in inferred from direct assay <newline> Golgi apparatus ; GO:0005794 | located_in inferred from direct assay <newline> extracellular region ; GO:0005576 | <newline> Golgi apparatus ; GO:0005794 |";"protein serine/threonine kinase activity ; GO:0004674 | enables inferred from biological aspect of ancestor with PANTHER:PTN000278746 <newline> protein kinase activity ; GO:0004672 | enables inferred from sequence or structural similarity with fj <newline> protein serine/threonine kinase activity ; GO:0004674 | <newline> protein kinase activity ; GO:0004672 |";-;CG31145
FBgn0027524;-;"Cdc73/Paf1 complex ; GO:0016593 | part_of inferred from biological aspect of ancestor with PANTHER:PTN002337039 <newline> Cdc73/Paf1 complex ; GO:0016593 |";-;-;CG3909
FBgn0030060;-;-;"ecdysteroid 22-kinase activity ; GO:0106389 | enables traceable author statement <newline> ecdysteroid 22-kinase activity ; GO:0106389 |";-;CG2004
FBgn0031801;-;-;"ecdysteroid 22-kinase activity ; GO:0106389 | enables traceable author statement <newline> ecdysteroid 22-kinase activity ; GO:0106389 |";-;CG9498
FBgn0260658;-;"plasma membrane ; GO:0005886 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000632293 <newline> plasma membrane ; GO:0005886 |";"calcium channel regulator activity ; GO:0005246 | enables inferred from biological aspect of ancestor with PANTHER:PTN000632293 <newline> GTP binding ; GO:0005525 | enables inferred from electronic annotation with InterPro:IPR001806 <newline> GTPase activity ; GO:0003924 | enables inferred from electronic annotation with InterPro:IPR001806 <newline> GTP binding ; GO:0005525 | enables inferred from biological aspect of ancestor with PANTHER:PTN000632293 <newline> calcium channel regulator activity ; GO:0005246 | <newline> GTP binding ; GO:0005525 | <newline> GTPase activity ; GO:0003924 |";-;CG42541
FBgn0051145;-;"extracellular region ; GO:0005576 | located_in inferred from direct assay <newline> Golgi apparatus ; GO:0005794 | located_in inferred from direct assay <newline> extracellular region ; GO:0005576 | <newline> Golgi apparatus ; GO:0005794 |";"protein serine/threonine kinase activity ; GO:0004674 | enables inferred from biological aspect of ancestor with PANTHER:PTN000278746 <newline> protein kinase activity ; GO:0004672 | enables inferred from sequence or structural similarity with fj <newline> protein serine/threonine kinase activity ; GO:0004674 | <newline> protein kinase activity ; GO:0004672 |";-;CG31145
FBgn0024238;"actin filament bundle assembly ; GO:0051017 | involved_in inferred from electronic annotation with InterPro:IPR039959 <newline> cortical actin cytoskeleton organization ; GO:0030866 | involved_in inferred from genetic interaction with zip <newline> actin crosslink formation ; GO:0051764 | involved_in inferred from mutant phenotype <newline> syncytial embryo cellularization ; GO:0110069 | involved_in inferred from mutant phenotype <newline> actin filament network formation ; GO:0051639 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> actin filament bundle assembly ; GO:0051017 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> actin filament bundle assembly ; GO:0051017 | <newline> cortical actin cytoskeleton organization ; GO:0030866 | <newline> actin crosslink formation ; GO:0051764 | <newline> syncytial embryo cellularization ; GO:0110069 | <newline> actin filament network formation ; GO:0051639 |";"cytoplasm ; GO:0005737 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> actin filament bundle ; GO:0032432 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> apical cortex ; GO:0045179 | located_in inferred from high throughput direct assay <newline> contractile ring ; GO:0070938 | colocalizes_with inferred from high throughput direct assay <newline> actin filament ; GO:0005884 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> cytosol ; GO:0005829 | located_in inferred from high throughput direct assay <newline> cytoplasm ; GO:0005737 | <newline> actin filament bundle ; GO:0032432 | <newline> apical cortex ; GO:0045179 | <newline> contractile ring ; GO:0070938 | <newline> actin filament ; GO:0005884 | <newline> cytosol ; GO:0005829 |";"calcium ion binding ; GO:0005509 | enables inferred from electronic annotation with InterPro:IPR002048 <newline> actin filament binding ; GO:0051015 | enables inferred from electronic annotation with InterPro:IPR039959 <newline> actin filament binding ; GO:0051015 | enables inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> calcium ion binding ; GO:0005509 | <newline> actin filament binding ; GO:0051015 |";Fimbrin;Fim
FBgn0024238;"actin filament bundle assembly ; GO:0051017 | involved_in inferred from electronic annotation with InterPro:IPR039959 <newline> cortical actin cytoskeleton organization ; GO:0030866 | involved_in inferred from genetic interaction with zip <newline> actin crosslink formation ; GO:0051764 | involved_in inferred from mutant phenotype <newline> syncytial embryo cellularization ; GO:0110069 | involved_in inferred from mutant phenotype <newline> actin filament network formation ; GO:0051639 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> actin filament bundle assembly ; GO:0051017 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> actin filament bundle assembly ; GO:0051017 | <newline> cortical actin cytoskeleton organization ; GO:0030866 | <newline> actin crosslink formation ; GO:0051764 | <newline> syncytial embryo cellularization ; GO:0110069 | <newline> actin filament network formation ; GO:0051639 |";"cytoplasm ; GO:0005737 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> actin filament bundle ; GO:0032432 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> apical cortex ; GO:0045179 | located_in inferred from high throughput direct assay <newline> contractile ring ; GO:0070938 | colocalizes_with inferred from high throughput direct assay <newline> actin filament ; GO:0005884 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> cytosol ; GO:0005829 | located_in inferred from high throughput direct assay <newline> cytoplasm ; GO:0005737 | <newline> actin filament bundle ; GO:0032432 | <newline> apical cortex ; GO:0045179 | <newline> contractile ring ; GO:0070938 | <newline> actin filament ; GO:0005884 | <newline> cytosol ; GO:0005829 |";"calcium ion binding ; GO:0005509 | enables inferred from electronic annotation with InterPro:IPR002048 <newline> actin filament binding ; GO:0051015 | enables inferred from electronic annotation with InterPro:IPR039959 <newline> actin filament binding ; GO:0051015 | enables inferred from biological aspect of ancestor with PANTHER:PTN000462453 <newline> calcium ion binding ; GO:0005509 | <newline> actin filament binding ; GO:0051015 |";Fimbrin;Fim
FBgn0259243;"actin filament organization ; GO:0007015 | involved_in inferred from mutant phenotype <newline> positive regulation of smoothened signaling pathway ; GO:0045880 | involved_in inferred from mutant phenotype <newline> negative regulation of smoothened signaling pathway ; GO:0045879 | involved_in inferred from mutant phenotype <newline> response to ethanol ; GO:0045471 | involved_in inferred from direct assay <newline> oocyte microtubule cytoskeleton polarization ; GO:0008103 | involved_in inferred from mutant phenotype <newline> molting cycle, chitin-based cuticle ; GO:0007591 | involved_in inferred from mutant phenotype <newline> olfactory learning ; GO:0008355 | involved_in non-traceable author statement <newline> spermatogenesis ; GO:0007283 | involved_in inferred from mutant phenotype <newline> olfactory learning ; GO:0008355 | involved_in inferred from mutant phenotype <newline> neuromuscular synaptic transmission ; GO:0007274 | involved_in inferred from mutant phenotype <newline> cAMP-mediated signaling ; GO:0019933 | involved_in non-traceable author statement <newline> regulation of protein phosphorylation ; GO:0001932 | involved_in inferred from electronic annotation with InterPro:IPR012198 <newline> positive regulation of feeding behavior ; GO:2000253 | involved_in inferred from mutant phenotype inferred from genetic interaction with sNPF-R <newline> negative regulation of smoothened signaling pathway ; GO:0045879 | involved_in inferred from genetic interaction with cos <newline> ventral cord development ; GO:0007419 | involved_in inferred from high throughput mutant phenotype <newline> actin filament organization ; GO:0007015 | <newline> positive regulation of smoothened signaling pathway ; GO:0045880 | <newline> negative regulation of smoothened signaling pathway ; GO:0045879 | <newline> response to ethanol ; GO:0045471 | <newline> oocyte microtubule cytoskeleton polarization ; GO:0008103 | <newline> molting cycle, chitin-based cuticle ; GO:0007591 | <newline> olfactory learning ; GO:0008355 | <newline> spermatogenesis ; GO:0007283 | <newline> neuromuscular synaptic transmission ; GO:0007274 | <newline> cAMP-mediated signaling ; GO:0019933 | <newline> regulation of protein phosphorylation ; GO:0001932 | <newline> positive regulation of feeding behavior ; GO:2000253 | <newline> ventral cord development ; GO:0007419 |";"cAMP-dependent protein kinase complex ; GO:0005952 | part_of inferred from electronic annotation with InterPro:IPR012198 <newline> cytoplasm ; GO:0005737 | located_in inferred from high throughput direct assay <newline> cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000180782 <newline> cAMP-dependent protein kinase complex ; GO:0005952 | part_of inferred from biological aspect of ancestor with PANTHER:PTN004280545 <newline> cAMP-dependent protein kinase complex ; GO:0005952 | <newline> cytoplasm ; GO:0005737 | <newline> cytosol ; GO:0005829 |";"protein kinase A catalytic subunit binding ; GO:0034236 | enables inferred from biological aspect of ancestor with PANTHER:PTN004280545 <newline> cAMP-dependent protein kinase inhibitor activity ; GO:0004862 | enables inferred from biological aspect of ancestor with PANTHER:PTN004280545 <newline> cAMP binding ; GO:0030552 | enables inferred from biological aspect of ancestor with PANTHER:PTN004280545 <newline> cAMP-dependent protein kinase regulator activity ; GO:0008603 | enables inferred from mutant phenotype <newline> cAMP-dependent protein kinase regulator activity ; GO:0008603 | enables inferred from electronic annotation with InterPro:IPR012198 <newline> protein kinase A catalytic subunit binding ; GO:0034236 | <newline> cAMP-dependent protein kinase inhibitor activity ; GO:0004862 | <newline> cAMP binding ; GO:0030552 | <newline> cAMP-dependent protein kinase regulator activity ; GO:0008603 |";Protein kinase, cAMP-dependent, regulatory subunit type 1;Pka-R1
FBgn0035101;"actin filament organization ; GO:0007015 | involved_in inferred from sequence or structural similarity with UniProtKB:P56945 <newline> cell migration ; GO:0016477 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN002240539 <newline> cell-cell adhesion ; GO:0098609 | involved_in inferred from mutant phenotype <newline> axonal defasciculation ; GO:0007414 | involved_in inferred from mutant phenotype <newline> transmembrane receptor protein tyrosine kinase signaling pathway ; GO:0007169 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN002240539 <newline> maintenance of cell polarity ; GO:0030011 | involved_in inferred from mutant phenotype <newline> actin filament organization ; GO:0007015 | <newline> cell migration ; GO:0016477 | <newline> cell-cell adhesion ; GO:0098609 | <newline> axonal defasciculation ; GO:0007414 | <newline> transmembrane receptor protein tyrosine kinase signaling pathway ; GO:0007169 | <newline> maintenance of cell polarity ; GO:0030011 |";"plasma membrane ; GO:0005886 | colocalizes_with inferred from biological aspect of ancestor with PANTHER:PTN002240539 <newline> cytoplasm ; GO:0005737 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002240539 <newline> focal adhesion ; GO:0005925 | located_in inferred from sequence or structural similarity with UniProtKB:P56945 <newline> plasma membrane ; GO:0005886 | <newline> cytoplasm ; GO:0005737 | <newline> focal adhesion ; GO:0005925 |";-;p130CAS;p130CAS
FBgn0000317;"actin filament-based movement ; GO:0030048 | involved_in inferred from direct assay <newline> sensory organ development ; GO:0007423 | involved_in inferred from mutant phenotype <newline> chaeta morphogenesis ; GO:0008407 | involved_in inferred from mutant phenotype <newline> sensory perception of sound ; GO:0007605 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000321046 <newline> imaginal disc-derived wing hair organization ; GO:0035317 | involved_in inferred from genetic interaction with dsh inferred from genetic interaction with fz <newline> actin filament organization ; GO:0007015 | involved_in inferred from mutant phenotype <newline> antennal morphogenesis ; GO:0048800 | involved_in inferred from mutant phenotype <newline> actin filament-based movement ; GO:0030048 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000321046 <newline> actin filament organization ; GO:0007015 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000320364 <newline> follicle cell microvillus organization ; GO:0032529 | involved_in inferred from mutant phenotype <newline> filopodium assembly ; GO:0046847 | involved_in inferred from genetic interaction with M7BP <newline> sensory perception of sound ; GO:0007605 | involved_in inferred from mutant phenotype <newline> chitin-based larval cuticle pattern formation ; GO:0035293 | involved_in inferred from genetic interaction with wg <newline> imaginal disc-derived wing hair organization ; GO:0035317 | involved_in inferred from genetic interaction with spen <newline> imaginal disc-derived wing vein morphogenesis ; GO:0008586 | involved_in inferred from genetic interaction with spen <newline> antennal development ; GO:0007469 | involved_in inferred from mutant phenotype <newline> sensory organ development ; GO:0007423 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000321046 <newline> endocytosis ; GO:0006897 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN008546177 <newline> actin filament-based movement ; GO:0030048 | <newline> sensory organ development ; GO:0007423 | <newline> chaeta morphogenesis ; GO:0008407 | <newline> sensory perception of sound ; GO:0007605 | <newline> imaginal disc-derived wing hair organization ; GO:0035317 | <newline> actin filament organization ; GO:0007015 | <newline> antennal morphogenesis ; GO:0048800 | <newline> follicle cell microvillus organization ; GO:0032529 | <newline> filopodium assembly ; GO:0046847 | <newline> chitin-based larval cuticle pattern formation ; GO:0035293 | <newline> imaginal disc-derived wing vein morphogenesis ; GO:0008586 | <newline> antennal development ; GO:0007469 | <newline> endocytosis ; GO:0006897 |";"membrane ; GO:0016020 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000320364 <newline> myosin complex ; GO:0016459 | part_of inferred from electronic annotation with InterPro:IPR001609 <newline> basal cortex ; GO:0045180 | located_in inferred from direct assay <newline> cytoplasm ; GO:0005737 | located_in inferred from direct assay <newline> cytoskeleton ; GO:0005856 | located_in inferred from electronic annotation with InterPro:IPR000299, InterPro:IPR000857 <newline> female germline ring canal outer rim ; GO:0035182 | located_in inferred from direct assay <newline> apical cortex ; GO:0045179 | located_in inferred from direct assay <newline> cytosol ; GO:0005829 | located_in inferred from direct assay <newline> actin cytoskeleton ; GO:0015629 | colocalizes_with inferred from direct assay <newline> microvillus ; GO:0005902 | located_in inferred from direct assay <newline> myosin VII complex ; GO:0031477 | part_of inferred from physical interaction with Cam,Mlc-c <newline> cell cortex ; GO:0005938 | located_in inferred from direct assay <newline> chrorion micropyle ; GO:0070825 | located_in inferred from direct assay <newline> cytoplasm ; GO:0005737 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000320364 <newline> microvillus ; GO:0005902 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002295382 <newline> myosin VII complex ; GO:0031477 | part_of inferred from physical interaction with Mlc-c <newline> membrane ; GO:0016020 | <newline> myosin complex ; GO:0016459 | <newline> basal cortex ; GO:0045180 | <newline> cytoplasm ; GO:0005737 | <newline> cytoskeleton ; GO:0005856 | <newline> female germline ring canal outer rim ; GO:0035182 | <newline> apical cortex ; GO:0045179 | <newline> cytosol ; GO:0005829 | <newline> actin cytoskeleton ; GO:0015629 | <newline> microvillus ; GO:0005902 | <newline> myosin VII complex ; GO:0031477 | <newline> cell cortex ; GO:0005938 | <newline> chrorion micropyle ; GO:0070825 |";"microfilament motor activity ; GO:0000146 | enables inferred from direct assay <newline> cytoskeletal motor activity ; GO:0003774 | enables inferred from electronic annotation with InterPro:IPR001609 <newline> microfilament motor activity ; GO:0000146 | enables inferred from biological aspect of ancestor with PANTHER:PTN000320364 <newline> myosin light chain binding ; GO:0032027 | enables inferred from physical interaction with Mlc-c <newline> ATP binding ; GO:0005524 | enables inferred from electronic annotation with InterPro:IPR001609 <newline> protein binding ; GO:0005515 | enables inferred from physical interaction with Sans <newline> ATP binding ; GO:0005524 | enables inferred from direct assay <newline> actin filament binding ; GO:0051015 | enables inferred from biological aspect of ancestor with PANTHER:PTN000320364 <newline> plus-end directed microfilament motor activity ; GO:0060002 | enables inferred from direct assay <newline> cadherin binding ; GO:0045296 | enables inferred from physical interaction with Cad99C <newline> microfilament motor activity ; GO:0000146 | <newline> cytoskeletal motor activity ; GO:0003774 | <newline> myosin light chain binding ; GO:0032027 | <newline> ATP binding ; GO:0005524 | <newline> protein binding ; GO:0005515 | <newline> actin filament binding ; GO:0051015 | <newline> plus-end directed microfilament motor activity ; GO:0060002 | <newline> cadherin binding ; GO:0045296 |";crinkled;ck
FBgn0000317;"actin filament-based movement ; GO:0030048 | involved_in inferred from direct assay <newline> sensory organ development ; GO:0007423 | involved_in inferred from mutant phenotype <newline> chaeta morphogenesis ; GO:0008407 | involved_in inferred from mutant phenotype <newline> sensory perception of sound ; GO:0007605 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000321046 <newline> imaginal disc-derived wing hair organization ; GO:0035317 | involved_in inferred from genetic interaction with dsh inferred from genetic interaction with fz <newline> actin filament organization ; GO:0007015 | involved_in inferred from mutant phenotype <newline> antennal morphogenesis ; GO:0048800 | involved_in inferred from mutant phenotype <newline> actin filament-based movement ; GO:0030048 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000321046 <newline> actin filament organization ; GO:0007015 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000320364 <newline> follicle cell microvillus organization ; GO:0032529 | involved_in inferred from mutant phenotype <newline> filopodium assembly ; GO:0046847 | involved_in inferred from genetic interaction with M7BP <newline> sensory perception of sound ; GO:0007605 | involved_in inferred from mutant phenotype <newline> chitin-based larval cuticle pattern formation ; GO:0035293 | involved_in inferred from genetic interaction with wg <newline> imaginal disc-derived wing hair organization ; GO:0035317 | involved_in inferred from genetic interaction with spen <newline> imaginal disc-derived wing vein morphogenesis ; GO:0008586 | involved_in inferred from genetic interaction with spen <newline> antennal development ; GO:0007469 | involved_in inferred from mutant phenotype <newline> sensory organ development ; GO:0007423 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000321046 <newline> endocytosis ; GO:0006897 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN008546177 <newline> actin filament-based movement ; GO:0030048 | <newline> sensory organ development ; GO:0007423 | <newline> chaeta morphogenesis ; GO:0008407 | <newline> sensory perception of sound ; GO:0007605 | <newline> imaginal disc-derived wing hair organization ; GO:0035317 | <newline> actin filament organization ; GO:0007015 | <newline> antennal morphogenesis ; GO:0048800 | <newline> follicle cell microvillus organization ; GO:0032529 | <newline> filopodium assembly ; GO:0046847 | <newline> chitin-based larval cuticle pattern formation ; GO:0035293 | <newline> imaginal disc-derived wing vein morphogenesis ; GO:0008586 | <newline> antennal development ; GO:0007469 | <newline> endocytosis ; GO:0006897 |";"membrane ; GO:0016020 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000320364 <newline> myosin complex ; GO:0016459 | part_of inferred from electronic annotation with InterPro:IPR001609 <newline> basal cortex ; GO:0045180 | located_in inferred from direct assay <newline> cytoplasm ; GO:0005737 | located_in inferred from direct assay <newline> cytoskeleton ; GO:0005856 | located_in inferred from electronic annotation with InterPro:IPR000299, InterPro:IPR000857 <newline> female germline ring canal outer rim ; GO:0035182 | located_in inferred from direct assay <newline> apical cortex ; GO:0045179 | located_in inferred from direct assay <newline> cytosol ; GO:0005829 | located_in inferred from direct assay <newline> actin cytoskeleton ; GO:0015629 | colocalizes_with inferred from direct assay <newline> microvillus ; GO:0005902 | located_in inferred from direct assay <newline> myosin VII complex ; GO:0031477 | part_of inferred from physical interaction with Cam,Mlc-c <newline> cell cortex ; GO:0005938 | located_in inferred from direct assay <newline> chrorion micropyle ; GO:0070825 | located_in inferred from direct assay <newline> cytoplasm ; GO:0005737 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000320364 <newline> microvillus ; GO:0005902 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002295382 <newline> myosin VII complex ; GO:0031477 | part_of inferred from physical interaction with Mlc-c <newline> membrane ; GO:0016020 | <newline> myosin complex ; GO:0016459 | <newline> basal cortex ; GO:0045180 | <newline> cytoplasm ; GO:0005737 | <newline> cytoskeleton ; GO:0005856 | <newline> female germline ring canal outer rim ; GO:0035182 | <newline> apical cortex ; GO:0045179 | <newline> cytosol ; GO:0005829 | <newline> actin cytoskeleton ; GO:0015629 | <newline> microvillus ; GO:0005902 | <newline> myosin VII complex ; GO:0031477 | <newline> cell cortex ; GO:0005938 | <newline> chrorion micropyle ; GO:0070825 |";"microfilament motor activity ; GO:0000146 | enables inferred from direct assay <newline> cytoskeletal motor activity ; GO:0003774 | enables inferred from electronic annotation with InterPro:IPR001609 <newline> microfilament motor activity ; GO:0000146 | enables inferred from biological aspect of ancestor with PANTHER:PTN000320364 <newline> myosin light chain binding ; GO:0032027 | enables inferred from physical interaction with Mlc-c <newline> ATP binding ; GO:0005524 | enables inferred from electronic annotation with InterPro:IPR001609 <newline> protein binding ; GO:0005515 | enables inferred from physical interaction with Sans <newline> ATP binding ; GO:0005524 | enables inferred from direct assay <newline> actin filament binding ; GO:0051015 | enables inferred from biological aspect of ancestor with PANTHER:PTN000320364 <newline> plus-end directed microfilament motor activity ; GO:0060002 | enables inferred from direct assay <newline> cadherin binding ; GO:0045296 | enables inferred from physical interaction with Cad99C <newline> microfilament motor activity ; GO:0000146 | <newline> cytoskeletal motor activity ; GO:0003774 | <newline> myosin light chain binding ; GO:0032027 | <newline> ATP binding ; GO:0005524 | <newline> protein binding ; GO:0005515 | <newline> actin filament binding ; GO:0051015 | <newline> plus-end directed microfilament motor activity ; GO:0060002 | <newline> cadherin binding ; GO:0045296 |";crinkled;ck
