#SUBMITTED ID;GO_BIOLOGICAL_PROCESS;GO_CELLULAR_COMPONENT;GO_MOLECULAR_FUNCTION;NAME;SYMBOL;JM;Pathway
FBgn0032820;"fructose 1,6-bisphosphate metabolic process ; GO:0030388 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000168022 <newline> fructose metabolic process ; GO:0006000 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000168022 <newline> sucrose biosynthetic process ; GO:0005986 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000168022 <newline> carbohydrate metabolic process ; GO:0005975 | involved_in inferred from electronic annotation with InterPro:IPR000146, InterPro:IPR020548 <newline> gluconeogenesis ; GO:0006094 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000168022 <newline> fructose 6-phosphate metabolic process ; GO:0006002 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000168022 <newline> fructose 1,6-bisphosphate metabolic process ; GO:0030388 | <newline> fructose metabolic process ; GO:0006000 | <newline> sucrose biosynthetic process ; GO:0005986 | <newline> carbohydrate metabolic process ; GO:0005975 | <newline> gluconeogenesis ; GO:0006094 | <newline> fructose 6-phosphate metabolic process ; GO:0006002 |";"cytoplasm ; GO:0005737 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000168022 <newline> cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000168034 <newline> cytoplasm ; GO:0005737 | <newline> cytosol ; GO:0005829 |";"fructose 1,6-bisphosphate 1-phosphatase activity ; GO:0042132 | enables inferred from electronic annotation with InterPro:IPR028343 <newline> phosphatase activity ; GO:0016791 | enables inferred from electronic annotation with InterPro:IPR000146 <newline> phosphoric ester hydrolase activity ; GO:0042578 | enables inferred from electronic annotation with InterPro:IPR020548 <newline> fructose 1,6-bisphosphate 1-phosphatase activity ; GO:0042132 | enables inferred from biological aspect of ancestor with PANTHER:PTN000168022 <newline> fructose 1,6-bisphosphate 1-phosphatase activity ; GO:0042132 | <newline> phosphatase activity ; GO:0016791 | <newline> phosphoric ester hydrolase activity ; GO:0042578 |";fructose-1,6-bisphosphatase;fbp;;Glycolysis
FBgn0086355;"glycolytic process ; GO:0006096 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000474559 <newline> gluconeogenesis ; GO:0006094 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000474559 <newline> glyceraldehyde-3-phosphate biosynthetic process ; GO:0046166 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000474559 <newline> glyceraldehyde-3-phosphate metabolic process ; GO:0019682 | involved_in inferred from sequence or structural similarity with UniProtKB:P17751 <newline> response to mechanical stimulus ; GO:0009612 | involved_in inferred from mutant phenotype <newline> glycerol catabolic process ; GO:0019563 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000474559 <newline> glucose homeostasis ; GO:0042593 | involved_in inferred from mutant phenotype <newline> glycolytic process ; GO:0006096 | involved_in inferred from mutant phenotype <newline> determination of adult lifespan ; GO:0008340 | involved_in inferred from mutant phenotype <newline> nervous system process ; GO:0050877 | involved_in inferred from mutant phenotype <newline> glycolytic process ; GO:0006096 | involved_in inferred from electronic annotation with InterPro:IPR022896 <newline> glycolytic process ; GO:0006096 | <newline> gluconeogenesis ; GO:0006094 | <newline> glyceraldehyde-3-phosphate biosynthetic process ; GO:0046166 | <newline> glyceraldehyde-3-phosphate metabolic process ; GO:0019682 | <newline> response to mechanical stimulus ; GO:0009612 | <newline> glycerol catabolic process ; GO:0019563 | <newline> glucose homeostasis ; GO:0042593 | <newline> determination of adult lifespan ; GO:0008340 | <newline> nervous system process ; GO:0050877 |";"cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000474559 <newline> M band ; GO:0031430 | located_in inferred from direct assay <newline> Z disc ; GO:0030018 | located_in inferred from direct assay <newline> cytosol ; GO:0005829 | <newline> M band ; GO:0031430 | <newline> Z disc ; GO:0030018 |";"protein homodimerization activity ; GO:0042803 | enables inferred from direct assay <newline> triose-phosphate isomerase activity ; GO:0004807 | enables inferred from direct assay <newline> triose-phosphate isomerase activity ; GO:0004807 | enables inferred from sequence or structural similarity with UniProtKB:P17751 <newline> triose-phosphate isomerase activity ; GO:0004807 | enables inferred from electronic annotation with InterPro:IPR000652, InterPro:IPR020861, InterPro:IPR022896, InterPro:IPR035990 <newline> protein homodimerization activity ; GO:0042803 | <newline> triose-phosphate isomerase activity ; GO:0004807 |";Triose phosphate isomerase;Tpi;;Glycolysis
FBgn0011211;"lipid storage ; GO:0019915 | involved_in inferred from mutant phenotype <newline> proton motive force-driven ATP synthesis ; GO:0015986 | involved_in inferred from electronic annotation with InterPro:IPR000793, InterPro:IPR005294 <newline> ATP metabolic process ; GO:0046034 | involved_in inferred from electronic annotation with InterPro:IPR004100, InterPro:IPR036121 <newline> proton motive force-driven ATP synthesis ; GO:0015986 | involved_in inferred from sequence or structural similarity with SGD:S000000195 <newline> proton transmembrane transport ; GO:1902600 | involved_in inferred from electronic annotation with InterPro:IPR004100, InterPro:IPR036121 <newline> proton motive force-driven ATP synthesis ; GO:0015986 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000389891 <newline> electron transport chain ; GO:0022900 | involved_in inferred from direct assay <newline> lipid storage ; GO:0019915 | <newline> proton motive force-driven ATP synthesis ; GO:0015986 | <newline> ATP metabolic process ; GO:0046034 | <newline> proton transmembrane transport ; GO:1902600 | <newline> electron transport chain ; GO:0022900 |";"mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay <newline> proton-transporting ATP synthase complex, catalytic core F(1) ; GO:0045261 | part_of inferred from biological aspect of ancestor with PANTHER:PTN008732895 <newline> mitochondrial proton-transporting ATP synthase, catalytic core ; GO:0005754 | part_of inferred from sequence or structural similarity with UniProtKB:P07251 <newline> mitochondrion ; GO:0005739 | located_in inferred from direct assay <newline> mitochondrial proton-transporting ATP synthase, catalytic core ; GO:0005754 | part_of inferred from biological aspect of ancestor with PANTHER:PTN000389894 <newline> proton-transporting ATP synthase complex, catalytic core F(1) ; GO:0045261 | part_of inferred from electronic annotation with InterPro:IPR005294 <newline> mitochondrion ; GO:0005739 | <newline> proton-transporting ATP synthase complex, catalytic core F(1) ; GO:0045261 | <newline> mitochondrial proton-transporting ATP synthase, catalytic core ; GO:0005754 |";"ADP binding ; GO:0043531 | enables inferred from biological aspect of ancestor with PANTHER:PTN000389891 <newline> adenyl ribonucleotide binding ; GO:0032559 | enables inferred from electronic annotation with InterPro:IPR033732 <newline> ATP binding ; GO:0005524 | enables inferred from biological aspect of ancestor with PANTHER:PTN000389891 <newline> proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933 | enables inferred from electronic annotation with InterPro:IPR005294 <newline> proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933 | contributes_to inferred from biological aspect of ancestor with PANTHER:PTN000389891 <newline> ATP binding ; GO:0005524 | enables inferred from electronic annotation with InterPro:IPR000194, InterPro:IPR020003 <newline> proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933 | contributes_to inferred from sequence or structural similarity with UniProtKB:P07251 <newline> ADP binding ; GO:0043531 | <newline> adenyl ribonucleotide binding ; GO:0032559 | <newline> ATP binding ; GO:0005524 | <newline> proton-transporting ATP synthase activity, rotational mechanism ; GO:0046933 |";bellwether;blw;;Lipid
FBgn0020236;"acetyl-CoA biosynthetic process ; GO:0006085 | involved_in inferred from electronic annotation with InterPro:IPR014608 <newline> citrate metabolic process ; GO:0006101 | involved_in inferred from electronic annotation with InterPro:IPR014608 <newline> acetyl-CoA biosynthetic process ; GO:0006085 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000563493 <newline> fatty acid biosynthetic process ; GO:0006633 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000563493 <newline> acetyl-CoA biosynthetic process ; GO:0006085 | involved_in inferred from mutant phenotype <newline> glucose homeostasis ; GO:0042593 | involved_in inferred from mutant phenotype <newline> tricarboxylic acid cycle ; GO:0006099 | involved_in inferred from electronic annotation with InterPro:IPR002020 <newline> acetyl-CoA biosynthetic process ; GO:0006085 | <newline> citrate metabolic process ; GO:0006101 | <newline> fatty acid biosynthetic process ; GO:0006633 | <newline> glucose homeostasis ; GO:0042593 | <newline> tricarboxylic acid cycle ; GO:0006099 |";"cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000563493 <newline> cytosol ; GO:0005829 |";"ATP citrate synthase activity ; GO:0003878 | enables inferred from electronic annotation with InterPro:IPR014608 <newline> ATP citrate synthase activity ; GO:0003878 | enables inferred from biological aspect of ancestor with PANTHER:PTN000563493 <newline> catalytic activity ; GO:0003824 | enables inferred from electronic annotation with InterPro:IPR005811 <newline> acyltransferase activity, acyl groups converted into alkyl on transfer ; GO:0046912 | enables inferred from electronic annotation with InterPro:IPR002020, InterPro:IPR036969 <newline> ATP citrate synthase activity ; GO:0003878 | <newline> catalytic activity ; GO:0003824 | <newline> acyltransferase activity, acyl groups converted into alkyl on transfer ; GO:0046912 |";ATP citrate lyase;ATPCL;;Lipid
FBgn0032775;"fatty acid beta-oxidation using acyl-CoA oxidase ; GO:0033540 | involved_in inferred from electronic annotation with InterPro:IPR034171 <newline> fatty acid beta-oxidation using acyl-CoA oxidase ; GO:0033540 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000097533 <newline> fatty acid beta-oxidation ; GO:0006635 | involved_in inferred from sequence or structural similarity with HGNC:119 <newline> lipid homeostasis ; GO:0055088 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000097533 <newline> fatty acid beta-oxidation ; GO:0006635 | involved_in inferred from electronic annotation with InterPro:IPR002655 <newline> fatty acid metabolic process ; GO:0006631 | involved_in inferred from electronic annotation with InterPro:IPR012258 <newline> fatty acid beta-oxidation using acyl-CoA oxidase ; GO:0033540 | <newline> fatty acid beta-oxidation ; GO:0006635 | <newline> lipid homeostasis ; GO:0055088 | <newline> fatty acid metabolic process ; GO:0006631 |";"peroxisome ; GO:0005777 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000097533 <newline> peroxisome ; GO:0005777 | located_in inferred from sequence or structural similarity with HGNC:119, HGNC:120 inferred from sequence model inferred from direct assay <newline> peroxisome ; GO:0005777 | located_in inferred from electronic annotation with InterPro:IPR002655, InterPro:IPR012258 <newline> peroxisome ; GO:0005777 |";"fatty acid binding ; GO:0005504 | enables inferred from biological aspect of ancestor with PANTHER:PTN000097533 <newline> pristanoyl-CoA oxidase activity ; GO:0016402 | enables inferred from biological aspect of ancestor with PANTHER:PTN000856318 <newline> fatty acid binding ; GO:0005504 | enables inferred from electronic annotation with InterPro:IPR034171 <newline> acyl-CoA oxidase activity ; GO:0003997 | enables inferred from sequence or structural similarity with HGNC:119 <newline> FAD binding ; GO:0071949 | enables inferred from electronic annotation with InterPro:IPR012258, InterPro:IPR034171 <newline> flavin adenine dinucleotide binding ; GO:0050660 | enables inferred from biological aspect of ancestor with PANTHER:PTN000097533 <newline> acyl-CoA oxidase activity ; GO:0003997 | enables inferred from electronic annotation with InterPro:IPR002655, InterPro:IPR012258, InterPro:IPR034171 <newline> oxidoreductase activity, acting on the CH-CH group of donors ; GO:0016627 | enables inferred from electronic annotation with InterPro:IPR006091, InterPro:IPR009075, InterPro:IPR009100, InterPro:IPR036250, InterPro:IPR046373 <newline> fatty acid binding ; GO:0005504 | <newline> pristanoyl-CoA oxidase activity ; GO:0016402 | <newline> acyl-CoA oxidase activity ; GO:0003997 | <newline> FAD binding ; GO:0071949 | <newline> flavin adenine dinucleotide binding ; GO:0050660 | <newline> oxidoreductase activity, acting on the CH-CH group of donors ; GO:0016627 |";-;CG17544;;Lipid
FBgn0033246;"cell morphogenesis ; GO:0000902 | involved_in inferred from mutant phenotype <newline> cellular response to sucrose stimulus ; GO:0071329 | involved_in inferred from direct assay <newline> fatty acid biosynthetic process ; GO:0006633 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000429606 <newline> fatty acid biosynthetic process ; GO:0006633 | involved_in inferred from electronic annotation with InterPro:IPR013537 <newline> response to sucrose ; GO:0009744 | involved_in inferred from mutant phenotype <newline> glycogen metabolic process ; GO:0005977 | involved_in inferred from mutant phenotype <newline> triglyceride biosynthetic process ; GO:0019432 | involved_in inferred from mutant phenotype <newline> cell morphogenesis ; GO:0000902 | <newline> cellular response to sucrose stimulus ; GO:0071329 | <newline> fatty acid biosynthetic process ; GO:0006633 | <newline> response to sucrose ; GO:0009744 | <newline> glycogen metabolic process ; GO:0005977 | <newline> triglyceride biosynthetic process ; GO:0019432 |";"cytoplasm ; GO:0005737 | located_in inferred from direct assay <newline> mitochondrion ; GO:0005739 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000429607 <newline> cytoplasm ; GO:0005737 | <newline> mitochondrion ; GO:0005739 |";"metal ion binding ; GO:0046872 | enables inferred from electronic annotation with InterPro:IPR011761 <newline> acetyl-CoA carboxylase activity ; GO:0003989 | enables inferred from biological aspect of ancestor with PANTHER:PTN000429606 <newline> acetyl-CoA carboxylase activity ; GO:0003989 | enables inferred from electronic annotation with InterPro:IPR013537 <newline> ATP binding ; GO:0005524 | enables inferred from electronic annotation with InterPro:IPR005479, InterPro:IPR011761, InterPro:IPR013537, InterPro:IPR013815 <newline> ligase activity ; GO:0016874 | enables inferred from electronic annotation with InterPro:IPR011763 <newline> biotin carboxylase activity ; GO:0004075 | enables inferred from sequence or structural similarity with UniProtKB:Q00955 <newline> metal ion binding ; GO:0046872 | <newline> acetyl-CoA carboxylase activity ; GO:0003989 | <newline> ATP binding ; GO:0005524 | <newline> ligase activity ; GO:0016874 | <newline> biotin carboxylase activity ; GO:0004075 |";Acetyl-CoA carboxylase;ACC;;Lipid
FBgn0034142;"long-chain fatty-acyl-CoA metabolic process ; GO:0035336 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000110226 <newline> wax biosynthetic process ; GO:0010025 | involved_in inferred from sequence or structural similarity with UniProtKB:Q922J9 <newline> long-chain fatty-acyl-CoA metabolic process ; GO:0035336 | <newline> wax biosynthetic process ; GO:0010025 |";"endomembrane system ; GO:0012505 | located_in inferred from high throughput direct assay <newline> peroxisome ; GO:0005777 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000110227 <newline> peroxisome ; GO:0005777 | located_in inferred from sequence or structural similarity with UniProtKB:Q922J9 <newline> endomembrane system ; GO:0012505 | <newline> peroxisome ; GO:0005777 |";"alcohol-forming very long-chain fatty acyl-CoA reductase activity ; GO:0080019 | enables inferred from sequence or structural similarity with HGNC:26222 <newline> alcohol-forming very long-chain fatty acyl-CoA reductase activity ; GO:0080019 | enables inferred from electronic annotation with InterPro:IPR026055 <newline> alcohol-forming very long-chain fatty acyl-CoA reductase activity ; GO:0080019 | enables inferred from biological aspect of ancestor with PANTHER:PTN000110226 <newline> alcohol-forming very long-chain fatty acyl-CoA reductase activity ; GO:0080019 |";-;CG8306;;Lipid
FBgn0035811;"medium-chain fatty acid catabolic process ; GO:0051793 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000098033 <newline> fatty acid beta-oxidation ; GO:0006635 | involved_in inferred from electronic annotation with InterPro:IPR034180 <newline> fatty acid beta-oxidation ; GO:0006635 | involved_in inferred from sequence or structural similarity with UniProtKB:P11310 <newline> medium-chain fatty acid catabolic process ; GO:0051793 | <newline> fatty acid beta-oxidation ; GO:0006635 |";"mitochondrion ; GO:0005739 | located_in inferred from high throughput direct assay <newline> cytosol ; GO:0005829 | located_in inferred from direct assay <newline> cytoplasm ; GO:0005737 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002535634 <newline> mitochondrion ; GO:0005739 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000098033 <newline> mitochondrion ; GO:0005739 | located_in inferred from electronic annotation with InterPro:IPR034180 <newline> mitochondrion ; GO:0005739 | located_in inferred from direct assay <newline> mitochondrion ; GO:0005739 | <newline> cytosol ; GO:0005829 | <newline> cytoplasm ; GO:0005737 |";"flavin adenine dinucleotide binding ; GO:0050660 | enables inferred from electronic annotation with InterPro:IPR013786, InterPro:IPR037069 <newline> medium-chain-acyl-CoA dehydrogenase activity ; GO:0070991 | enables inferred from mutant phenotype <newline> oxidoreductase activity, acting on the CH-CH group of donors ; GO:0016627 | enables inferred from electronic annotation with InterPro:IPR006091, InterPro:IPR009075, InterPro:IPR009100, InterPro:IPR013786, InterPro:IPR036250, InterPro:IPR037069, InterPro:IPR046373 <newline> medium-chain-acyl-CoA dehydrogenase activity ; GO:0070991 | enables inferred from biological aspect of ancestor with PANTHER:PTN000098033 <newline> medium-chain-acyl-CoA dehydrogenase activity ; GO:0070991 | enables inferred from electronic annotation with InterPro:IPR034180 <newline> acyl-CoA dehydrogenase activity ; GO:0003995 | enables inferred from electronic annotation with InterPro:IPR006089 <newline> acyl-CoA dehydrogenase activity ; GO:0003995 | enables inferred from sequence or structural similarity with UniProtKB:P11310 <newline> flavin adenine dinucleotide binding ; GO:0050660 | <newline> medium-chain-acyl-CoA dehydrogenase activity ; GO:0070991 | <newline> oxidoreductase activity, acting on the CH-CH group of donors ; GO:0016627 | <newline> acyl-CoA dehydrogenase activity ; GO:0003995 |";Medium-chain acyl-CoA dehydrogenase;Mcad;;Lipid
FBgn0037913;"chitin-based cuticle development ; GO:0040003 | involved_in inferred from mutant phenotype <newline> fatty acid transport ; GO:0015908 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN002278936 <newline> long-term memory ; GO:0007616 | involved_in inferred from mutant phenotype <newline> chitin-based cuticle development ; GO:0040003 | <newline> fatty acid transport ; GO:0015908 | <newline> long-term memory ; GO:0007616 |";"cytosol ; GO:0005829 | located_in inferred from high throughput direct assay <newline> nucleoplasm ; GO:0005654 | located_in inferred from high throughput direct assay <newline> nucleus ; GO:0005634 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002278936 <newline> cytosol ; GO:0005829 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002278936 <newline> cytosol ; GO:0005829 | <newline> nucleoplasm ; GO:0005654 | <newline> nucleus ; GO:0005634 |";"lipid binding ; GO:0008289 | enables inferred from electronic annotation with InterPro:IPR000463, InterPro:IPR031259 <newline> fatty acid binding ; GO:0005504 | enables inferred from biological aspect of ancestor with PANTHER:PTN002278936 <newline> lipid binding ; GO:0008289 | <newline> fatty acid binding ; GO:0005504 |";fatty acid binding protein;fabp;;Lipid
FBgn0037999;"fatty acid beta-oxidation ; GO:0006635 | involved_in inferred from sequence or structural similarity with HGNC:30211 <newline> butyrate catabolic process ; GO:0046359 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000097838 <newline> fatty acid beta-oxidation using acyl-CoA dehydrogenase ; GO:0033539 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000097838 <newline> fatty acid beta-oxidation ; GO:0006635 | <newline> butyrate catabolic process ; GO:0046359 | <newline> fatty acid beta-oxidation using acyl-CoA dehydrogenase ; GO:0033539 |";"mitochondrion ; GO:0005739 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000856533 <newline> mitochondrion ; GO:0005739 |";"butyryl-CoA dehydrogenase activity ; GO:0004085 | enables inferred from biological aspect of ancestor with PANTHER:PTN000097838 <newline> flavin adenine dinucleotide binding ; GO:0050660 | enables inferred from electronic annotation with InterPro:IPR013786, InterPro:IPR037069 <newline> oxidoreductase activity, acting on the CH-CH group of donors ; GO:0016627 | enables inferred from electronic annotation with InterPro:IPR006091, InterPro:IPR009075, InterPro:IPR009100, InterPro:IPR013786, InterPro:IPR036250, InterPro:IPR037069, InterPro:IPR046373 <newline> acyl-CoA dehydrogenase activity ; GO:0003995 | enables inferred from sequence or structural similarity with HGNC:30211 <newline> acyl-CoA dehydrogenase activity ; GO:0003995 | enables inferred from electronic annotation with InterPro:IPR006089 <newline> butyryl-CoA dehydrogenase activity ; GO:0004085 | <newline> flavin adenine dinucleotide binding ; GO:0050660 | <newline> oxidoreductase activity, acting on the CH-CH group of donors ; GO:0016627 | <newline> acyl-CoA dehydrogenase activity ; GO:0003995 |";-;CG4860;;Lipid
FBgn0263593;"regulation of DNA damage checkpoint ; GO:2000001 | involved_in inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000953144 <newline> triglyceride biosynthetic process ; GO:0019432 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000256565 <newline> lipid homeostasis ; GO:0055088 | involved_in inferred from mutant phenotype <newline> imaginal disc-derived wing vein specification ; GO:0007474 | involved_in inferred from mutant phenotype <newline> positive regulation of insulin receptor signaling pathway ; GO:0046628 | involved_in inferred from mutant phenotype <newline> fatty acid catabolic process ; GO:0009062 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000256565 <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | involved_in inferred from sequence or structural similarity with MGI:MGI:1891340 <newline> regulation of cellular ketone metabolic process ; GO:0010565 | involved_in inferred from mutant phenotype <newline> triglyceride biosynthetic process ; GO:0019432 | involved_in inferred from mutant phenotype <newline> cellular response to insulin stimulus ; GO:0032869 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN000953144 <newline> positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction ; GO:0051897 | involved_in inferred from mutant phenotype <newline> response to starvation ; GO:0042594 | involved_in inferred from mutant phenotype <newline> cellular response to insulin stimulus ; GO:0032869 | involved_in inferred from genetic interaction with InR <newline> imaginal disc-derived wing margin morphogenesis ; GO:0008587 | involved_in inferred from mutant phenotype <newline> nuclear membrane biogenesis ; GO:0101025 | involved_in inferred from expression pattern <newline> regulation of fatty acid metabolic process ; GO:0019217 | involved_in inferred from mutant phenotype <newline> cellular response to starvation ; GO:0009267 | involved_in inferred from mutant phenotype <newline> regulation of cell cycle phase transition ; GO:1901987 | involved_in inferred from mutant phenotype <newline> negative regulation of BMP signaling pathway ; GO:0030514 | involved_in inferred from mutant phenotype inferred from genetic interaction with Dad <newline> regulation of DNA damage checkpoint ; GO:2000001 | <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | <newline> triglyceride biosynthetic process ; GO:0019432 | <newline> lipid homeostasis ; GO:0055088 | <newline> imaginal disc-derived wing vein specification ; GO:0007474 | <newline> positive regulation of insulin receptor signaling pathway ; GO:0046628 | <newline> fatty acid catabolic process ; GO:0009062 | <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | <newline> regulation of cellular ketone metabolic process ; GO:0010565 | <newline> cellular response to insulin stimulus ; GO:0032869 | <newline> positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction ; GO:0051897 | <newline> response to starvation ; GO:0042594 | <newline> imaginal disc-derived wing margin morphogenesis ; GO:0008587 | <newline> nuclear membrane biogenesis ; GO:0101025 | <newline> regulation of fatty acid metabolic process ; GO:0019217 | <newline> cellular response to starvation ; GO:0009267 | <newline> regulation of cell cycle phase transition ; GO:1901987 | <newline> negative regulation of BMP signaling pathway ; GO:0030514 |";"cytoplasm ; GO:0005737 | located_in inferred from direct assay <newline> nucleus ; GO:0005634 | located_in inferred from direct assay <newline> female germline ring canal inner rim ; GO:0035183 | located_in inferred from direct assay <newline> cytosol ; GO:0005829 | located_in inferred from direct assay <newline> nucleus ; GO:0005634 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN000256565 <newline> cytoplasm ; GO:0005737 | <newline> nucleus ; GO:0005634 | <newline> female germline ring canal inner rim ; GO:0035183 | <newline> cytosol ; GO:0005829 |";"phosphatidate phosphatase activity ; GO:0008195 | enables inferred from mutant phenotype <newline> transcription coactivator activity ; GO:0003713 | enables inferred from sequence or structural similarity with MGI:MGI:1891340 <newline> phosphatidate phosphatase activity ; GO:0008195 | enables inferred from biological aspect of ancestor with PANTHER:PTN000256564 <newline> transcription coactivator activity ; GO:0003713 | enables inferred from biological aspect of ancestor with PANTHER:PTN000953144 <newline> phosphatidate phosphatase activity ; GO:0008195 | enables inferred from sequence or structural similarity with MGI:MGI:1891340 <newline> phosphatidate phosphatase activity ; GO:0008195 | <newline> transcription coactivator activity ; GO:0003713 |";Lipin;Lpin;;Lipid
FBgn0267828;"triglyceride homeostasis ; GO:0070328 | involved_in inferred from mutant phenotype <newline> triglyceride homeostasis ; GO:0070328 | involved_in inferred from biological aspect of ancestor with PANTHER:PTN002875555 <newline> fatty acid biosynthetic process ; GO:0006633 | involved_in traceable author statement <newline> triglyceride homeostasis ; GO:0070328 | <newline> fatty acid biosynthetic process ; GO:0006633 |";"endoplasmic reticulum ; GO:0005783 | is_active_in inferred from biological aspect of ancestor with PANTHER:PTN002875555 <newline> endomembrane system ; GO:0012505 | located_in inferred from high throughput direct assay <newline> endoplasmic reticulum ; GO:0005783 | <newline> endomembrane system ; GO:0012505 |";"long-chain fatty acid-CoA ligase activity ; GO:0004467 | enables inferred from biological aspect of ancestor with PANTHER:PTN001945407 <newline> long-chain fatty acid transporter activity ; GO:0005324 | enables inferred from biological aspect of ancestor with PANTHER:PTN001945407 <newline> very long-chain fatty acid-CoA ligase activity ; GO:0031957 | enables traceable author statement <newline> long-chain fatty acid-CoA ligase activity ; GO:0004467 | <newline> long-chain fatty acid transporter activity ; GO:0005324 | <newline> very long-chain fatty acid-CoA ligase activity ; GO:0031957 |";Fatty acid transport protein 1;Fatp1;;Lipid
